"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"9601","L1","L1 1",38,"disamb","rp","disamb rp",6,0,328,328,"Unambiguous","Consistent",328
"9603","L1","L1 1",39,"disamb","rp","disamb rp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"9605","L1","L1 1",26,"disamb","rp","disamb rp",6,0,586,586,"Unambiguous","Consistent",586
"9607","L1","L1 1",34,"disamb","rp","disamb rp",6,1,0,NA,"Unambiguous","Consistent",NA
"9609","L1","L1 1",46,"disamb","rp","disamb rp",6,1,0,NA,"Unambiguous","Consistent",NA
"9611","L1","L1 1",29,"disamb","rp","disamb rp",5,1,0,NA,"Ambiguous","Consistent",NA
"9613","L1","L1 1",36,"disamb","rp","disamb rp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"9615","L1","L1 1",30,"disamb","rp","disamb rp",6,1,0,NA,"Unambiguous","Consistent",NA
"9617","L1","L1 1",40,"disamb","rp","disamb rp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"9619","L1","L1 1",33,"disamb","rp","disamb rp",5,1,0,NA,"Ambiguous","Consistent",NA
"9621","L1","L1 1",43,"disamb","rp","disamb rp",7,0,708,708,"Ambiguous","Inconsistent",708
"9623","L1","L1 1",28,"disamb","rp","disamb rp",8,0,375,375,"Unambiguous","Inconsistent",375
"9625","L1","L1 1",31,"disamb","rp","disamb rp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"9627","L1","L1 1",45,"disamb","rp","disamb rp",5,0,298,298,"Ambiguous","Consistent",298
"9629","L1","L1 1",25,"disamb","rp","disamb rp",5,1,0,NA,"Ambiguous","Consistent",NA
"9631","L1","L1 1",41,"disamb","rp","disamb rp",5,0,252,252,"Ambiguous","Consistent",252
"9633","L1","L1 1",42,"disamb","rp","disamb rp",6,0,853,853,"Unambiguous","Consistent",853
"9635","L1","L1 1",37,"disamb","rp","disamb rp",5,0,1039,1039,"Ambiguous","Consistent",1039
"9637","L1","L1 1",32,"disamb","rp","disamb rp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"9639","L1","L1 1",48,"disamb","rp","disamb rp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"9641","L1","L1 1",47,"disamb","rp","disamb rp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"9643","L1","L1 1",44,"disamb","rp","disamb rp",8,1,0,NA,"Unambiguous","Inconsistent",NA
