"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"1921","L1","L1 1",38,"spillover1","fp","spillover1 fp",6,0,790,790,"Unambiguous","Consistent",790
"1923","L1","L1 1",39,"spillover1","fp","spillover1 fp",7,0,232,232,"Ambiguous","Inconsistent",232
"1925","L1","L1 1",26,"spillover1","fp","spillover1 fp",6,0,558,558,"Unambiguous","Consistent",558
"1927","L1","L1 1",34,"spillover1","fp","spillover1 fp",6,0,172,172,"Unambiguous","Consistent",172
"1929","L1","L1 1",46,"spillover1","fp","spillover1 fp",6,0,176,176,"Unambiguous","Consistent",176
"1931","L1","L1 1",29,"spillover1","fp","spillover1 fp",5,0,171,171,"Ambiguous","Consistent",171
"1933","L1","L1 1",36,"spillover1","fp","spillover1 fp",8,0,467,467,"Unambiguous","Inconsistent",467
"1935","L1","L1 1",30,"spillover1","fp","spillover1 fp",6,0,200,200,"Unambiguous","Consistent",200
"1937","L1","L1 1",40,"spillover1","fp","spillover1 fp",8,0,173,173,"Unambiguous","Inconsistent",173
"1939","L1","L1 1",33,"spillover1","fp","spillover1 fp",5,0,222,222,"Ambiguous","Consistent",222
"1941","L1","L1 1",43,"spillover1","fp","spillover1 fp",7,0,1260,1260,"Ambiguous","Inconsistent",1260
"1943","L1","L1 1",28,"spillover1","fp","spillover1 fp",8,0,821,821,"Unambiguous","Inconsistent",821
"1945","L1","L1 1",31,"spillover1","fp","spillover1 fp",7,0,161,161,"Ambiguous","Inconsistent",161
"1947","L1","L1 1",45,"spillover1","fp","spillover1 fp",5,0,831,831,"Ambiguous","Consistent",831
"1949","L1","L1 1",25,"spillover1","fp","spillover1 fp",5,0,172,172,"Ambiguous","Consistent",172
"1951","L1","L1 1",41,"spillover1","fp","spillover1 fp",5,0,336,336,"Ambiguous","Consistent",336
"1953","L1","L1 1",42,"spillover1","fp","spillover1 fp",6,0,297,297,"Unambiguous","Consistent",297
"1955","L1","L1 1",37,"spillover1","fp","spillover1 fp",5,0,963,963,"Ambiguous","Consistent",963
"1957","L1","L1 1",32,"spillover1","fp","spillover1 fp",8,0,415,415,"Unambiguous","Inconsistent",415
"1959","L1","L1 1",48,"spillover1","fp","spillover1 fp",8,0,214,214,"Unambiguous","Inconsistent",214
"1961","L1","L1 1",47,"spillover1","fp","spillover1 fp",7,0,201,201,"Ambiguous","Inconsistent",201
"1963","L1","L1 1",44,"spillover1","fp","spillover1 fp",8,0,237,237,"Unambiguous","Inconsistent",237
"1965","L1","L1 1",27,"spillover1","fp","spillover1 fp",7,0,203,203,"Ambiguous","Inconsistent",203
"1967","L1","L1 1",35,"spillover1","fp","spillover1 fp",7,0,337,337,"Ambiguous","Inconsistent",337
"1969","L1","L1 2",46,"spillover1","fp","spillover1 fp",7,0,214,214,"Ambiguous","Inconsistent",214
"1971","L1","L1 2",25,"spillover1","fp","spillover1 fp",6,0,107,107,"Unambiguous","Consistent",107
"1973","L1","L1 2",39,"spillover1","fp","spillover1 fp",8,0,178,178,"Unambiguous","Inconsistent",178
"1975","L1","L1 2",38,"spillover1","fp","spillover1 fp",7,0,1038,1038,"Ambiguous","Inconsistent",1038
"1977","L1","L1 2",30,"spillover1","fp","spillover1 fp",7,0,437,437,"Ambiguous","Inconsistent",437
"1979","L1","L1 2",27,"spillover1","fp","spillover1 fp",8,0,250,250,"Unambiguous","Inconsistent",250
"1981","L1","L1 2",29,"spillover1","fp","spillover1 fp",6,0,152,152,"Unambiguous","Consistent",152
"1983","L1","L1 2",33,"spillover1","fp","spillover1 fp",6,0,295,295,"Unambiguous","Consistent",295
"1985","L1","L1 2",32,"spillover1","fp","spillover1 fp",5,0,823,823,"Ambiguous","Consistent",823
"1987","L1","L1 2",43,"spillover1","fp","spillover1 fp",8,0,545,545,"Unambiguous","Inconsistent",545
"1989","L1","L1 2",45,"spillover1","fp","spillover1 fp",6,0,162,162,"Unambiguous","Consistent",162
"1991","L1","L1 2",48,"spillover1","fp","spillover1 fp",5,0,225,225,"Ambiguous","Consistent",225
"1993","L1","L1 2",47,"spillover1","fp","spillover1 fp",8,0,308,308,"Unambiguous","Inconsistent",308
"1995","L1","L1 2",31,"spillover1","fp","spillover1 fp",8,0,179,179,"Unambiguous","Inconsistent",179
"1997","L1","L1 2",26,"spillover1","fp","spillover1 fp",7,0,160,160,"Ambiguous","Inconsistent",160
"1999","L1","L1 2",42,"spillover1","fp","spillover1 fp",7,0,198,198,"Ambiguous","Inconsistent",198
"2001","L1","L1 2",36,"spillover1","fp","spillover1 fp",5,0,174,174,"Ambiguous","Consistent",174
"2003","L1","L1 2",35,"spillover1","fp","spillover1 fp",8,0,130,130,"Unambiguous","Inconsistent",130
"2005","L1","L1 2",44,"spillover1","fp","spillover1 fp",5,0,134,134,"Ambiguous","Consistent",134
"2007","L1","L1 2",41,"spillover1","fp","spillover1 fp",6,0,437,437,"Unambiguous","Consistent",437
"2009","L1","L1 2",37,"spillover1","fp","spillover1 fp",6,0,338,338,"Unambiguous","Consistent",338
"2011","L1","L1 2",40,"spillover1","fp","spillover1 fp",5,0,256,256,"Ambiguous","Consistent",256
"2013","L1","L1 2",28,"spillover1","fp","spillover1 fp",5,0,363,363,"Ambiguous","Consistent",363
"2015","L1","L1 2",34,"spillover1","fp","spillover1 fp",7,0,200,200,"Ambiguous","Inconsistent",200
"2018","L1","L1 3",34,"spillover1","fp","spillover1 fp",8,0,335,335,"Unambiguous","Inconsistent",335
"2020","L1","L1 3",30,"spillover1","fp","spillover1 fp",8,0,1135,1135,"Unambiguous","Inconsistent",1135
"2022","L1","L1 3",38,"spillover1","fp","spillover1 fp",8,0,225,225,"Unambiguous","Inconsistent",225
"2024","L1","L1 3",43,"spillover1","fp","spillover1 fp",5,0,1929,1929,"Ambiguous","Consistent",1929
"2026","L1","L1 3",47,"spillover1","fp","spillover1 fp",5,0,1034,1034,"Ambiguous","Consistent",1034
"2028","L1","L1 3",25,"spillover1","fp","spillover1 fp",7,0,2200,2200,"Ambiguous","Inconsistent",2200
"2030","L1","L1 3",37,"spillover1","fp","spillover1 fp",7,0,128,128,"Ambiguous","Inconsistent",128
"2032","L1","L1 3",40,"spillover1","fp","spillover1 fp",6,0,153,153,"Unambiguous","Consistent",153
"2034","L1","L1 3",42,"spillover1","fp","spillover1 fp",8,0,149,149,"Unambiguous","Inconsistent",149
"2036","L1","L1 3",33,"spillover1","fp","spillover1 fp",7,0,566,566,"Ambiguous","Inconsistent",566
"2038","L1","L1 3",39,"spillover1","fp","spillover1 fp",5,0,139,139,"Ambiguous","Consistent",139
"2040","L1","L1 3",41,"spillover1","fp","spillover1 fp",7,0,1097,1097,"Ambiguous","Inconsistent",1097
"2042","L1","L1 3",27,"spillover1","fp","spillover1 fp",5,0,94,94,"Ambiguous","Consistent",94
"2044","L1","L1 3",29,"spillover1","fp","spillover1 fp",7,0,117,117,"Ambiguous","Inconsistent",117
"2046","L1","L1 3",46,"spillover1","fp","spillover1 fp",8,0,617,617,"Unambiguous","Inconsistent",617
"2048","L1","L1 3",28,"spillover1","fp","spillover1 fp",6,0,141,141,"Unambiguous","Consistent",141
"2050","L1","L1 3",35,"spillover1","fp","spillover1 fp",5,0,787,787,"Ambiguous","Consistent",787
"2052","L1","L1 3",45,"spillover1","fp","spillover1 fp",7,0,237,237,"Ambiguous","Inconsistent",237
"2054","L1","L1 3",32,"spillover1","fp","spillover1 fp",6,0,1516,1516,"Unambiguous","Consistent",1516
"2056","L1","L1 3",26,"spillover1","fp","spillover1 fp",8,0,169,169,"Unambiguous","Inconsistent",169
"2058","L1","L1 3",36,"spillover1","fp","spillover1 fp",6,0,431,431,"Unambiguous","Consistent",431
"2060","L1","L1 3",31,"spillover1","fp","spillover1 fp",5,0,724,724,"Ambiguous","Consistent",724
"2062","L1","L1 3",48,"spillover1","fp","spillover1 fp",6,0,918,918,"Unambiguous","Consistent",918
"2064","L1","L1 3",44,"spillover1","fp","spillover1 fp",6,0,159,159,"Unambiguous","Consistent",159
"2066","L1","L1 4",43,"spillover1","fp","spillover1 fp",6,0,389,389,"Unambiguous","Consistent",389
"2068","L1","L1 4",33,"spillover1","fp","spillover1 fp",8,0,292,292,"Unambiguous","Inconsistent",292
"2070","L1","L1 4",29,"spillover1","fp","spillover1 fp",8,0,378,378,"Unambiguous","Inconsistent",378
"2072","L1","L1 4",41,"spillover1","fp","spillover1 fp",8,0,335,335,"Unambiguous","Inconsistent",335
"2074","L1","L1 4",26,"spillover1","fp","spillover1 fp",5,0,608,608,"Ambiguous","Consistent",608
"2076","L1","L1 4",28,"spillover1","fp","spillover1 fp",7,0,335,335,"Ambiguous","Inconsistent",335
"2078","L1","L1 4",25,"spillover1","fp","spillover1 fp",8,0,393,393,"Unambiguous","Inconsistent",393
"2080","L1","L1 4",34,"spillover1","fp","spillover1 fp",5,0,320,320,"Ambiguous","Consistent",320
"2082","L1","L1 4",38,"spillover1","fp","spillover1 fp",5,0,653,653,"Ambiguous","Consistent",653
"2084","L1","L1 4",30,"spillover1","fp","spillover1 fp",5,0,469,469,"Ambiguous","Consistent",469
"2086","L1","L1 4",48,"spillover1","fp","spillover1 fp",7,0,222,222,"Ambiguous","Inconsistent",222
"2088","L1","L1 4",27,"spillover1","fp","spillover1 fp",6,0,385,385,"Unambiguous","Consistent",385
"2090","L1","L1 4",35,"spillover1","fp","spillover1 fp",6,0,313,313,"Unambiguous","Consistent",313
"2092","L1","L1 4",45,"spillover1","fp","spillover1 fp",8,0,328,328,"Unambiguous","Inconsistent",328
"2094","L1","L1 4",42,"spillover1","fp","spillover1 fp",5,0,257,257,"Ambiguous","Consistent",257
"2096","L1","L1 4",47,"spillover1","fp","spillover1 fp",6,0,371,371,"Unambiguous","Consistent",371
"2098","L1","L1 4",39,"spillover1","fp","spillover1 fp",6,0,506,506,"Unambiguous","Consistent",506
"2100","L1","L1 4",44,"spillover1","fp","spillover1 fp",7,0,374,374,"Ambiguous","Inconsistent",374
"2102","L1","L1 4",32,"spillover1","fp","spillover1 fp",7,0,326,326,"Ambiguous","Inconsistent",326
"2104","L1","L1 4",37,"spillover1","fp","spillover1 fp",8,0,455,455,"Unambiguous","Inconsistent",455
"2106","L1","L1 4",46,"spillover1","fp","spillover1 fp",5,0,873,873,"Ambiguous","Consistent",873
"2108","L1","L1 4",31,"spillover1","fp","spillover1 fp",6,0,340,340,"Unambiguous","Consistent",340
"2110","L1","L1 4",40,"spillover1","fp","spillover1 fp",7,0,269,269,"Ambiguous","Inconsistent",269
"2112","L1","L1 4",36,"spillover1","fp","spillover1 fp",7,0,402,402,"Ambiguous","Inconsistent",402
"2113","L1","L1 5",39,"spillover1","fp","spillover1 fp",7,0,210,210,"Ambiguous","Inconsistent",210
"2115","L1","L1 5",33,"spillover1","fp","spillover1 fp",5,0,214,214,"Ambiguous","Consistent",214
"2117","L1","L1 5",30,"spillover1","fp","spillover1 fp",6,0,191,191,"Unambiguous","Consistent",191
"2119","L1","L1 5",46,"spillover1","fp","spillover1 fp",6,0,161,161,"Unambiguous","Consistent",161
"2121","L1","L1 5",25,"spillover1","fp","spillover1 fp",5,0,365,365,"Ambiguous","Consistent",365
"2123","L1","L1 5",42,"spillover1","fp","spillover1 fp",6,0,170,170,"Unambiguous","Consistent",170
"2125","L1","L1 5",41,"spillover1","fp","spillover1 fp",5,0,220,220,"Ambiguous","Consistent",220
"2127","L1","L1 5",36,"spillover1","fp","spillover1 fp",8,0,302,302,"Unambiguous","Inconsistent",302
"2129","L1","L1 5",34,"spillover1","fp","spillover1 fp",6,0,239,239,"Unambiguous","Consistent",239
"2131","L1","L1 5",35,"spillover1","fp","spillover1 fp",7,0,453,453,"Ambiguous","Inconsistent",453
"2133","L1","L1 5",43,"spillover1","fp","spillover1 fp",7,0,424,424,"Ambiguous","Inconsistent",424
"2135","L1","L1 5",47,"spillover1","fp","spillover1 fp",7,0,326,326,"Ambiguous","Inconsistent",326
