"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"11521","L1","L1 1",38,"spillover1","rp","spillover1 rp",6,0,1855,1855,"Unambiguous","Consistent",1855
"11523","L1","L1 1",39,"spillover1","rp","spillover1 rp",7,0,5087,5087,"Ambiguous","Inconsistent",5087
"11525","L1","L1 1",26,"spillover1","rp","spillover1 rp",6,0,1207,1207,"Unambiguous","Consistent",1207
"11527","L1","L1 1",34,"spillover1","rp","spillover1 rp",6,0,647,647,"Unambiguous","Consistent",647
"11529","L1","L1 1",46,"spillover1","rp","spillover1 rp",6,0,559,559,"Unambiguous","Consistent",559
"11531","L1","L1 1",29,"spillover1","rp","spillover1 rp",5,0,1283,1283,"Ambiguous","Consistent",1283
"11533","L1","L1 1",36,"spillover1","rp","spillover1 rp",8,0,3210,3210,"Unambiguous","Inconsistent",3210
"11535","L1","L1 1",30,"spillover1","rp","spillover1 rp",6,0,1617,1617,"Unambiguous","Consistent",1617
"11537","L1","L1 1",40,"spillover1","rp","spillover1 rp",8,0,1800,1800,"Unambiguous","Inconsistent",1800
"11539","L1","L1 1",33,"spillover1","rp","spillover1 rp",5,0,1451,1451,"Ambiguous","Consistent",1451
"11541","L1","L1 1",43,"spillover1","rp","spillover1 rp",7,0,1260,1260,"Ambiguous","Inconsistent",1260
"11543","L1","L1 1",28,"spillover1","rp","spillover1 rp",8,0,821,821,"Unambiguous","Inconsistent",821
"11545","L1","L1 1",31,"spillover1","rp","spillover1 rp",7,0,3777,3777,"Ambiguous","Inconsistent",3777
"11547","L1","L1 1",45,"spillover1","rp","spillover1 rp",5,0,831,831,"Ambiguous","Consistent",831
"11549","L1","L1 1",25,"spillover1","rp","spillover1 rp",5,0,1926,1926,"Ambiguous","Consistent",1926
"11551","L1","L1 1",41,"spillover1","rp","spillover1 rp",5,0,336,336,"Ambiguous","Consistent",336
"11553","L1","L1 1",42,"spillover1","rp","spillover1 rp",6,0,3566,3566,"Unambiguous","Consistent",3566
"11555","L1","L1 1",37,"spillover1","rp","spillover1 rp",5,0,963,963,"Ambiguous","Consistent",963
"11557","L1","L1 1",32,"spillover1","rp","spillover1 rp",8,0,1404,1404,"Unambiguous","Inconsistent",1404
"11559","L1","L1 1",48,"spillover1","rp","spillover1 rp",8,0,1596,1596,"Unambiguous","Inconsistent",1596
"11561","L1","L1 1",47,"spillover1","rp","spillover1 rp",7,0,1714,1714,"Ambiguous","Inconsistent",1714
"11563","L1","L1 1",44,"spillover1","rp","spillover1 rp",8,0,2415,2415,"Unambiguous","Inconsistent",2415
"11565","L1","L1 1",27,"spillover1","rp","spillover1 rp",7,0,5724,5724,"Ambiguous","Inconsistent",5724
"11567","L1","L1 1",35,"spillover1","rp","spillover1 rp",7,0,3428,3428,"Ambiguous","Inconsistent",3428
"11569","L1","L1 2",46,"spillover1","rp","spillover1 rp",7,0,1471,1471,"Ambiguous","Inconsistent",1471
"11571","L1","L1 2",25,"spillover1","rp","spillover1 rp",6,0,910,910,"Unambiguous","Consistent",910
"11573","L1","L1 2",39,"spillover1","rp","spillover1 rp",8,0,919,919,"Unambiguous","Inconsistent",919
"11575","L1","L1 2",38,"spillover1","rp","spillover1 rp",7,0,3094,3094,"Ambiguous","Inconsistent",3094
