"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"26881","L1","L1 1",38,"spillover2","tt","spillover2 tt",6,0,956,956,"Unambiguous","Consistent",956
"26883","L1","L1 1",39,"spillover2","tt","spillover2 tt",7,0,875,875,"Ambiguous","Inconsistent",875
"26885","L1","L1 1",26,"spillover2","tt","spillover2 tt",6,0,688,688,"Unambiguous","Consistent",688
"26887","L1","L1 1",34,"spillover2","tt","spillover2 tt",6,0,862,862,"Unambiguous","Consistent",862
"26889","L1","L1 1",46,"spillover2","tt","spillover2 tt",6,0,1303,1303,"Unambiguous","Consistent",1303
"26891","L1","L1 1",29,"spillover2","tt","spillover2 tt",5,0,877,877,"Ambiguous","Consistent",877
"26893","L1","L1 1",36,"spillover2","tt","spillover2 tt",8,0,1921,1921,"Unambiguous","Inconsistent",1921
"26895","L1","L1 1",30,"spillover2","tt","spillover2 tt",6,0,727,727,"Unambiguous","Consistent",727
"26897","L1","L1 1",40,"spillover2","tt","spillover2 tt",8,0,439,439,"Unambiguous","Inconsistent",439
"26899","L1","L1 1",33,"spillover2","tt","spillover2 tt",5,0,660,660,"Ambiguous","Consistent",660
"26901","L1","L1 1",43,"spillover2","tt","spillover2 tt",7,0,598,598,"Ambiguous","Inconsistent",598
"26903","L1","L1 1",28,"spillover2","tt","spillover2 tt",8,0,572,572,"Unambiguous","Inconsistent",572
"26905","L1","L1 1",31,"spillover2","tt","spillover2 tt",7,0,600,600,"Ambiguous","Inconsistent",600
"26907","L1","L1 1",45,"spillover2","tt","spillover2 tt",5,0,644,644,"Ambiguous","Consistent",644
"26909","L1","L1 1",25,"spillover2","tt","spillover2 tt",5,0,834,834,"Ambiguous","Consistent",834
"26911","L1","L1 1",41,"spillover2","tt","spillover2 tt",5,0,2640,2640,"Ambiguous","Consistent",2640
"26913","L1","L1 1",42,"spillover2","tt","spillover2 tt",6,0,581,581,"Unambiguous","Consistent",581
"26915","L1","L1 1",37,"spillover2","tt","spillover2 tt",5,0,1409,1409,"Ambiguous","Consistent",1409
"26917","L1","L1 1",32,"spillover2","tt","spillover2 tt",8,0,1200,1200,"Unambiguous","Inconsistent",1200
"26919","L1","L1 1",48,"spillover2","tt","spillover2 tt",8,0,1021,1021,"Unambiguous","Inconsistent",1021
"26921","L1","L1 1",47,"spillover2","tt","spillover2 tt",7,0,628,628,"Ambiguous","Inconsistent",628
"26923","L1","L1 1",44,"spillover2","tt","spillover2 tt",8,0,1272,1272,"Unambiguous","Inconsistent",1272
"26925","L1","L1 1",27,"spillover2","tt","spillover2 tt",7,0,1065,1065,"Ambiguous","Inconsistent",1065
"26927","L1","L1 1",35,"spillover2","tt","spillover2 tt",7,0,204,204,"Ambiguous","Inconsistent",204
"26929","L1","L1 2",46,"spillover2","tt","spillover2 tt",7,0,1664,1664,"Ambiguous","Inconsistent",1664
"26931","L1","L1 2",25,"spillover2","tt","spillover2 tt",6,0,889,889,"Unambiguous","Consistent",889
"26933","L1","L1 2",39,"spillover2","tt","spillover2 tt",8,0,511,511,"Unambiguous","Inconsistent",511
"26935","L1","L1 2",38,"spillover2","tt","spillover2 tt",7,0,526,526,"Ambiguous","Inconsistent",526
"26937","L1","L1 2",30,"spillover2","tt","spillover2 tt",7,0,408,408,"Ambiguous","Inconsistent",408
"26939","L1","L1 2",27,"spillover2","tt","spillover2 tt",8,0,696,696,"Unambiguous","Inconsistent",696
"26941","L1","L1 2",29,"spillover2","tt","spillover2 tt",6,0,1090,1090,"Unambiguous","Consistent",1090
"26943","L1","L1 2",33,"spillover2","tt","spillover2 tt",6,0,292,292,"Unambiguous","Consistent",292
"26945","L1","L1 2",32,"spillover2","tt","spillover2 tt",5,0,1100,1100,"Ambiguous","Consistent",1100
"26947","L1","L1 2",43,"spillover2","tt","spillover2 tt",8,0,1185,1185,"Unambiguous","Inconsistent",1185
"26949","L1","L1 2",45,"spillover2","tt","spillover2 tt",6,0,226,226,"Unambiguous","Consistent",226
"26951","L1","L1 2",48,"spillover2","tt","spillover2 tt",5,0,373,373,"Ambiguous","Consistent",373
"26953","L1","L1 2",47,"spillover2","tt","spillover2 tt",8,0,634,634,"Unambiguous","Inconsistent",634
"26955","L1","L1 2",31,"spillover2","tt","spillover2 tt",8,0,313,313,"Unambiguous","Inconsistent",313
"26957","L1","L1 2",26,"spillover2","tt","spillover2 tt",7,0,112,112,"Ambiguous","Inconsistent",112
"26959","L1","L1 2",42,"spillover2","tt","spillover2 tt",7,0,818,818,"Ambiguous","Inconsistent",818
"26961","L1","L1 2",36,"spillover2","tt","spillover2 tt",5,0,1220,1220,"Ambiguous","Consistent",1220
"26963","L1","L1 2",35,"spillover2","tt","spillover2 tt",8,0,602,602,"Unambiguous","Inconsistent",602
"26965","L1","L1 2",44,"spillover2","tt","spillover2 tt",5,0,341,341,"Ambiguous","Consistent",341
"26967","L1","L1 2",41,"spillover2","tt","spillover2 tt",6,0,1072,1072,"Unambiguous","Consistent",1072
"26969","L1","L1 2",37,"spillover2","tt","spillover2 tt",6,0,1854,1854,"Unambiguous","Consistent",1854
"26971","L1","L1 2",40,"spillover2","tt","spillover2 tt",5,0,402,402,"Ambiguous","Consistent",402
"26973","L1","L1 2",28,"spillover2","tt","spillover2 tt",5,0,414,414,"Ambiguous","Consistent",414
"26975","L1","L1 2",34,"spillover2","tt","spillover2 tt",7,0,374,374,"Ambiguous","Inconsistent",374
"26978","L1","L1 3",34,"spillover2","tt","spillover2 tt",8,0,1084,1084,"Unambiguous","Inconsistent",1084
"26980","L1","L1 3",30,"spillover2","tt","spillover2 tt",8,0,2154,2154,"Unambiguous","Inconsistent",2154
"26982","L1","L1 3",38,"spillover2","tt","spillover2 tt",8,0,1775,1775,"Unambiguous","Inconsistent",1775
"26984","L1","L1 3",43,"spillover2","tt","spillover2 tt",5,0,1158,1158,"Ambiguous","Consistent",1158
"26986","L1","L1 3",47,"spillover2","tt","spillover2 tt",5,0,1982,1982,"Ambiguous","Consistent",1982
"26988","L1","L1 3",25,"spillover2","tt","spillover2 tt",7,0,1998,1998,"Ambiguous","Inconsistent",1998
"26990","L1","L1 3",37,"spillover2","tt","spillover2 tt",7,0,790,790,"Ambiguous","Inconsistent",790
"26992","L1","L1 3",40,"spillover2","tt","spillover2 tt",6,0,539,539,"Unambiguous","Consistent",539
"26994","L1","L1 3",42,"spillover2","tt","spillover2 tt",8,0,1451,1451,"Unambiguous","Inconsistent",1451
"26996","L1","L1 3",33,"spillover2","tt","spillover2 tt",7,0,1222,1222,"Ambiguous","Inconsistent",1222
"26998","L1","L1 3",39,"spillover2","tt","spillover2 tt",5,0,1118,1118,"Ambiguous","Consistent",1118
"27000","L1","L1 3",41,"spillover2","tt","spillover2 tt",7,0,566,566,"Ambiguous","Inconsistent",566
"27002","L1","L1 3",27,"spillover2","tt","spillover2 tt",5,0,696,696,"Ambiguous","Consistent",696
"27004","L1","L1 3",29,"spillover2","tt","spillover2 tt",7,0,1306,1306,"Ambiguous","Inconsistent",1306
"27006","L1","L1 3",46,"spillover2","tt","spillover2 tt",8,0,946,946,"Unambiguous","Inconsistent",946
"27008","L1","L1 3",28,"spillover2","tt","spillover2 tt",6,0,835,835,"Unambiguous","Consistent",835
"27010","L1","L1 3",35,"spillover2","tt","spillover2 tt",5,0,799,799,"Ambiguous","Consistent",799
"27012","L1","L1 3",45,"spillover2","tt","spillover2 tt",7,0,931,931,"Ambiguous","Inconsistent",931
"27014","L1","L1 3",32,"spillover2","tt","spillover2 tt",6,0,962,962,"Unambiguous","Consistent",962
"27016","L1","L1 3",26,"spillover2","tt","spillover2 tt",8,0,962,962,"Unambiguous","Inconsistent",962
"27018","L1","L1 3",36,"spillover2","tt","spillover2 tt",6,0,1290,1290,"Unambiguous","Consistent",1290
"27020","L1","L1 3",31,"spillover2","tt","spillover2 tt",5,0,817,817,"Ambiguous","Consistent",817
"27022","L1","L1 3",48,"spillover2","tt","spillover2 tt",6,0,586,586,"Unambiguous","Consistent",586
"27024","L1","L1 3",44,"spillover2","tt","spillover2 tt",6,0,1090,1090,"Unambiguous","Consistent",1090
"27026","L1","L1 4",43,"spillover2","tt","spillover2 tt",6,0,930,930,"Unambiguous","Consistent",930
"27028","L1","L1 4",33,"spillover2","tt","spillover2 tt",8,0,633,633,"Unambiguous","Inconsistent",633
"27030","L1","L1 4",29,"spillover2","tt","spillover2 tt",8,0,1454,1454,"Unambiguous","Inconsistent",1454
"27032","L1","L1 4",41,"spillover2","tt","spillover2 tt",8,0,328,328,"Unambiguous","Inconsistent",328
"27034","L1","L1 4",26,"spillover2","tt","spillover2 tt",5,0,506,506,"Ambiguous","Consistent",506
"27036","L1","L1 4",28,"spillover2","tt","spillover2 tt",7,0,642,642,"Ambiguous","Inconsistent",642
"27038","L1","L1 4",25,"spillover2","tt","spillover2 tt",8,0,1118,1118,"Unambiguous","Inconsistent",1118
"27040","L1","L1 4",34,"spillover2","tt","spillover2 tt",5,0,762,762,"Ambiguous","Consistent",762
"27042","L1","L1 4",38,"spillover2","tt","spillover2 tt",5,0,637,637,"Ambiguous","Consistent",637
"27044","L1","L1 4",30,"spillover2","tt","spillover2 tt",5,0,814,814,"Ambiguous","Consistent",814
"27046","L1","L1 4",48,"spillover2","tt","spillover2 tt",7,0,477,477,"Ambiguous","Inconsistent",477
"27048","L1","L1 4",27,"spillover2","tt","spillover2 tt",6,0,796,796,"Unambiguous","Consistent",796
"27050","L1","L1 4",35,"spillover2","tt","spillover2 tt",6,0,815,815,"Unambiguous","Consistent",815
"27052","L1","L1 4",45,"spillover2","tt","spillover2 tt",8,0,504,504,"Unambiguous","Inconsistent",504
"27054","L1","L1 4",42,"spillover2","tt","spillover2 tt",5,0,626,626,"Ambiguous","Consistent",626
"27056","L1","L1 4",47,"spillover2","tt","spillover2 tt",6,0,586,586,"Unambiguous","Consistent",586
"27058","L1","L1 4",39,"spillover2","tt","spillover2 tt",6,0,521,521,"Unambiguous","Consistent",521
"27060","L1","L1 4",44,"spillover2","tt","spillover2 tt",7,0,636,636,"Ambiguous","Inconsistent",636
"27062","L1","L1 4",32,"spillover2","tt","spillover2 tt",7,0,654,654,"Ambiguous","Inconsistent",654
"27064","L1","L1 4",37,"spillover2","tt","spillover2 tt",8,0,555,555,"Unambiguous","Inconsistent",555
"27066","L1","L1 4",46,"spillover2","tt","spillover2 tt",5,0,622,622,"Ambiguous","Consistent",622
