"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"2","L1","L1 1",24,"disamb","fp","disamb fp",4,0,552,552,"Unambiguous","Mismatch",552
"4","L1","L1 1",12,"disamb","fp","disamb fp",4,0,464,464,"Unambiguous","Mismatch",464
"6","L1","L1 1",6,"disamb","fp","disamb fp",2,0,344,344,"Ambiguous","Mismatch",344
"8","L1","L1 1",7,"disamb","fp","disamb fp",3,0,186,186,"Unambiguous","Match",186
"10","L1","L1 1",14,"disamb","fp","disamb fp",2,0,478,478,"Ambiguous","Mismatch",478
"12","L1","L1 1",21,"disamb","fp","disamb fp",1,0,527,527,"Ambiguous","Match",527
"14","L1","L1 1",19,"disamb","fp","disamb fp",3,0,206,206,"Unambiguous","Match",206
"16","L1","L1 1",17,"disamb","fp","disamb fp",1,0,938,938,"Ambiguous","Match",938
"18","L1","L1 1",10,"disamb","fp","disamb fp",2,0,698,698,"Ambiguous","Mismatch",698
"20","L1","L1 1",23,"disamb","fp","disamb fp",3,0,739,739,"Unambiguous","Match",739
"22","L1","L1 1",15,"disamb","fp","disamb fp",3,0,543,543,"Unambiguous","Match",543
"24","L1","L1 1",1,"disamb","fp","disamb fp",1,0,380,380,"Ambiguous","Match",380
"26","L1","L1 1",2,"disamb","fp","disamb fp",2,0,485,485,"Ambiguous","Mismatch",485
"28","L1","L1 1",5,"disamb","fp","disamb fp",1,0,755,755,"Ambiguous","Match",755
"30","L1","L1 1",16,"disamb","fp","disamb fp",4,0,497,497,"Unambiguous","Mismatch",497
"32","L1","L1 1",3,"disamb","fp","disamb fp",3,0,2426,2426,"Unambiguous","Match",NA
"34","L1","L1 1",13,"disamb","fp","disamb fp",1,0,945,945,"Ambiguous","Match",945
"36","L1","L1 1",11,"disamb","fp","disamb fp",3,0,671,671,"Unambiguous","Match",671
"38","L1","L1 1",9,"disamb","fp","disamb fp",1,0,513,513,"Ambiguous","Match",513
"40","L1","L1 1",8,"disamb","fp","disamb fp",4,0,731,731,"Unambiguous","Mismatch",731
"42","L1","L1 1",4,"disamb","fp","disamb fp",4,0,477,477,"Unambiguous","Mismatch",477
"44","L1","L1 1",20,"disamb","fp","disamb fp",4,0,722,722,"Unambiguous","Mismatch",722
"46","L1","L1 1",18,"disamb","fp","disamb fp",2,0,500,500,"Ambiguous","Mismatch",500
"48","L1","L1 1",22,"disamb","fp","disamb fp",2,0,170,170,"Ambiguous","Mismatch",170
"50","L1","L1 2",14,"disamb","fp","disamb fp",3,0,407,407,"Unambiguous","Match",407
"52","L1","L1 2",4,"disamb","fp","disamb fp",1,0,989,989,"Ambiguous","Match",989
"54","L1","L1 2",19,"disamb","fp","disamb fp",4,0,445,445,"Unambiguous","Mismatch",445
"56","L1","L1 2",1,"disamb","fp","disamb fp",2,0,399,399,"Ambiguous","Mismatch",399
"58","L1","L1 2",5,"disamb","fp","disamb fp",2,0,683,683,"Ambiguous","Mismatch",683
"60","L1","L1 2",15,"disamb","fp","disamb fp",4,0,178,178,"Unambiguous","Mismatch",178
"62","L1","L1 2",7,"disamb","fp","disamb fp",4,0,177,177,"Unambiguous","Mismatch",177
"64","L1","L1 2",18,"disamb","fp","disamb fp",3,0,498,498,"Unambiguous","Match",498
"66","L1","L1 2",6,"disamb","fp","disamb fp",3,0,553,553,"Unambiguous","Match",553
"68","L1","L1 2",22,"disamb","fp","disamb fp",3,0,754,754,"Unambiguous","Match",754
"70","L1","L1 2",10,"disamb","fp","disamb fp",3,0,552,552,"Unambiguous","Match",552
"72","L1","L1 2",8,"disamb","fp","disamb fp",1,0,307,307,"Ambiguous","Match",307
"74","L1","L1 2",24,"disamb","fp","disamb fp",1,0,448,448,"Ambiguous","Match",448
"76","L1","L1 2",17,"disamb","fp","disamb fp",2,0,192,192,"Ambiguous","Mismatch",192
"78","L1","L1 2",2,"disamb","fp","disamb fp",3,0,392,392,"Unambiguous","Match",392
"80","L1","L1 2",11,"disamb","fp","disamb fp",4,0,250,250,"Unambiguous","Mismatch",250
"82","L1","L1 2",3,"disamb","fp","disamb fp",4,0,371,371,"Unambiguous","Mismatch",371
"84","L1","L1 2",21,"disamb","fp","disamb fp",2,0,183,183,"Ambiguous","Mismatch",183
"86","L1","L1 2",20,"disamb","fp","disamb fp",1,0,438,438,"Ambiguous","Match",438
"88","L1","L1 2",16,"disamb","fp","disamb fp",1,0,142,142,"Ambiguous","Match",142
"90","L1","L1 2",13,"disamb","fp","disamb fp",2,0,519,519,"Ambiguous","Mismatch",519
