"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"19202","L1","L1 1",24,"disamb","tt","disamb tt",4,0,552,552,"Unambiguous","Mismatch",552
"19204","L1","L1 1",12,"disamb","tt","disamb tt",4,0,2328,2328,"Unambiguous","Mismatch",2328
"19206","L1","L1 1",6,"disamb","tt","disamb tt",2,0,1740,1740,"Ambiguous","Mismatch",1740
"19208","L1","L1 1",7,"disamb","tt","disamb tt",3,0,980,980,"Unambiguous","Match",980
"19210","L1","L1 1",14,"disamb","tt","disamb tt",2,0,954,954,"Ambiguous","Mismatch",954
"19212","L1","L1 1",21,"disamb","tt","disamb tt",1,0,1461,1461,"Ambiguous","Match",1461
"19214","L1","L1 1",19,"disamb","tt","disamb tt",3,0,206,206,"Unambiguous","Match",206
"19216","L1","L1 1",17,"disamb","tt","disamb tt",1,0,1102,1102,"Ambiguous","Match",1102
"19218","L1","L1 1",10,"disamb","tt","disamb tt",2,0,1227,1227,"Ambiguous","Mismatch",1227
"19220","L1","L1 1",23,"disamb","tt","disamb tt",3,0,1483,1483,"Unambiguous","Match",1483
"19222","L1","L1 1",15,"disamb","tt","disamb tt",3,0,543,543,"Unambiguous","Match",543
"19224","L1","L1 1",1,"disamb","tt","disamb tt",1,0,380,380,"Ambiguous","Match",380
"19226","L1","L1 1",2,"disamb","tt","disamb tt",2,0,485,485,"Ambiguous","Mismatch",485
"19228","L1","L1 1",5,"disamb","tt","disamb tt",1,0,755,755,"Ambiguous","Match",755
"19230","L1","L1 1",16,"disamb","tt","disamb tt",4,0,751,751,"Unambiguous","Mismatch",751
"19232","L1","L1 1",3,"disamb","tt","disamb tt",3,0,2426,2426,"Unambiguous","Match",2426
"19234","L1","L1 1",13,"disamb","tt","disamb tt",1,0,1175,1175,"Ambiguous","Match",1175
"19236","L1","L1 1",11,"disamb","tt","disamb tt",3,0,671,671,"Unambiguous","Match",671
