"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"21122","L1","L1 1",24,"reflexive","tt","reflexive tt",4,0,177,177,"Unambiguous","Mismatch",177
"21124","L1","L1 1",12,"reflexive","tt","reflexive tt",4,0,654,654,"Unambiguous","Mismatch",654
"21126","L1","L1 1",6,"reflexive","tt","reflexive tt",2,0,324,324,"Ambiguous","Mismatch",324
"21128","L1","L1 1",7,"reflexive","tt","reflexive tt",3,0,661,661,"Unambiguous","Match",661
"21130","L1","L1 1",14,"reflexive","tt","reflexive tt",2,0,463,463,"Ambiguous","Mismatch",463
"21132","L1","L1 1",21,"reflexive","tt","reflexive tt",1,0,383,383,"Ambiguous","Match",383
"21134","L1","L1 1",19,"reflexive","tt","reflexive tt",3,0,346,346,"Unambiguous","Match",346
"21136","L1","L1 1",17,"reflexive","tt","reflexive tt",1,0,547,547,"Ambiguous","Match",547
"21138","L1","L1 1",10,"reflexive","tt","reflexive tt",2,0,592,592,"Ambiguous","Mismatch",592
"21140","L1","L1 1",23,"reflexive","tt","reflexive tt",3,0,926,926,"Unambiguous","Match",926
"21142","L1","L1 1",15,"reflexive","tt","reflexive tt",3,0,487,487,"Unambiguous","Match",487
"21144","L1","L1 1",1,"reflexive","tt","reflexive tt",1,0,317,317,"Ambiguous","Match",317
"21146","L1","L1 1",2,"reflexive","tt","reflexive tt",2,0,659,659,"Ambiguous","Mismatch",659
"21148","L1","L1 1",5,"reflexive","tt","reflexive tt",1,0,179,179,"Ambiguous","Match",179
"21150","L1","L1 1",16,"reflexive","tt","reflexive tt",4,0,448,448,"Unambiguous","Mismatch",448
"21152","L1","L1 1",3,"reflexive","tt","reflexive tt",3,0,224,224,"Unambiguous","Match",224
"21154","L1","L1 1",13,"reflexive","tt","reflexive tt",1,0,1196,1196,"Ambiguous","Match",1196
"21156","L1","L1 1",11,"reflexive","tt","reflexive tt",3,0,191,191,"Unambiguous","Match",191
"21158","L1","L1 1",9,"reflexive","tt","reflexive tt",1,0,203,203,"Ambiguous","Match",203
"21160","L1","L1 1",8,"reflexive","tt","reflexive tt",4,0,397,397,"Unambiguous","Mismatch",397
"21162","L1","L1 1",4,"reflexive","tt","reflexive tt",4,0,531,531,"Unambiguous","Mismatch",531
"21164","L1","L1 1",20,"reflexive","tt","reflexive tt",4,0,898,898,"Unambiguous","Mismatch",898
"21166","L1","L1 1",18,"reflexive","tt","reflexive tt",2,0,407,407,"Ambiguous","Mismatch",407
"21168","L1","L1 1",22,"reflexive","tt","reflexive tt",2,0,763,763,"Ambiguous","Mismatch",763
"21170","L1","L1 2",14,"reflexive","tt","reflexive tt",3,0,527,527,"Unambiguous","Match",527
"21172","L1","L1 2",4,"reflexive","tt","reflexive tt",1,1,0,NA,"Ambiguous","Match",NA
"21174","L1","L1 2",19,"reflexive","tt","reflexive tt",4,0,401,401,"Unambiguous","Mismatch",401
"21176","L1","L1 2",1,"reflexive","tt","reflexive tt",2,0,263,263,"Ambiguous","Mismatch",263
"21178","L1","L1 2",5,"reflexive","tt","reflexive tt",2,0,748,748,"Ambiguous","Mismatch",748
"21180","L1","L1 2",15,"reflexive","tt","reflexive tt",4,0,843,843,"Unambiguous","Mismatch",843
"21182","L1","L1 2",7,"reflexive","tt","reflexive tt",4,0,710,710,"Unambiguous","Mismatch",710
"21184","L1","L1 2",18,"reflexive","tt","reflexive tt",3,0,179,179,"Unambiguous","Match",179
"21186","L1","L1 2",6,"reflexive","tt","reflexive tt",3,1,0,NA,"Unambiguous","Match",NA
"21188","L1","L1 2",22,"reflexive","tt","reflexive tt",3,0,502,502,"Unambiguous","Match",502
"21190","L1","L1 2",10,"reflexive","tt","reflexive tt",3,0,522,522,"Unambiguous","Match",522
"21192","L1","L1 2",8,"reflexive","tt","reflexive tt",1,0,206,206,"Ambiguous","Match",206
"21194","L1","L1 2",24,"reflexive","tt","reflexive tt",1,0,172,172,"Ambiguous","Match",172
"21196","L1","L1 2",17,"reflexive","tt","reflexive tt",2,0,338,338,"Ambiguous","Mismatch",338
"21198","L1","L1 2",2,"reflexive","tt","reflexive tt",3,1,0,NA,"Unambiguous","Match",NA
"21200","L1","L1 2",11,"reflexive","tt","reflexive tt",4,1,0,NA,"Unambiguous","Mismatch",NA
