"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"13442","L1","L1 1",24,"spillover","rp","spillover rp",4,0,500,500,"Unambiguous","Mismatch",500
"13444","L1","L1 1",12,"spillover","rp","spillover rp",4,0,3463,3463,"Unambiguous","Mismatch",3463
"13446","L1","L1 1",6,"spillover","rp","spillover rp",2,0,1608,1608,"Ambiguous","Mismatch",1608
"13448","L1","L1 1",7,"spillover","rp","spillover rp",3,0,2258,2258,"Unambiguous","Match",2258
"13450","L1","L1 1",14,"spillover","rp","spillover rp",2,0,644,644,"Ambiguous","Mismatch",644
"13452","L1","L1 1",21,"spillover","rp","spillover rp",1,0,5010,5010,"Ambiguous","Match",5010
"13454","L1","L1 1",19,"spillover","rp","spillover rp",3,0,668,668,"Unambiguous","Match",668
"13456","L1","L1 1",17,"spillover","rp","spillover rp",1,0,648,648,"Ambiguous","Match",648
"13458","L1","L1 1",10,"spillover","rp","spillover rp",2,0,2462,2462,"Ambiguous","Mismatch",2462
"13460","L1","L1 1",23,"spillover","rp","spillover rp",3,0,359,359,"Unambiguous","Match",359
"13462","L1","L1 1",15,"spillover","rp","spillover rp",3,0,2101,2101,"Unambiguous","Match",2101
"13464","L1","L1 1",1,"spillover","rp","spillover rp",1,0,593,593,"Ambiguous","Match",593
"13466","L1","L1 1",2,"spillover","rp","spillover rp",2,0,1006,1006,"Ambiguous","Mismatch",1006
"13468","L1","L1 1",5,"spillover","rp","spillover rp",1,0,515,515,"Ambiguous","Match",515
"13470","L1","L1 1",16,"spillover","rp","spillover rp",4,0,1693,1693,"Unambiguous","Mismatch",1693
"13472","L1","L1 1",3,"spillover","rp","spillover rp",3,0,760,760,"Unambiguous","Match",760
"13474","L1","L1 1",13,"spillover","rp","spillover rp",1,0,659,659,"Ambiguous","Match",659
"13476","L1","L1 1",11,"spillover","rp","spillover rp",3,0,695,695,"Unambiguous","Match",695
"13478","L1","L1 1",9,"spillover","rp","spillover rp",1,0,1431,1431,"Ambiguous","Match",1431
"13480","L1","L1 1",8,"spillover","rp","spillover rp",4,0,4239,4239,"Unambiguous","Mismatch",4239
"13482","L1","L1 1",4,"spillover","rp","spillover rp",4,0,1217,1217,"Unambiguous","Mismatch",1217
"13484","L1","L1 1",20,"spillover","rp","spillover rp",4,0,776,776,"Unambiguous","Mismatch",776
"13486","L1","L1 1",18,"spillover","rp","spillover rp",2,0,467,467,"Ambiguous","Mismatch",467
"13488","L1","L1 1",22,"spillover","rp","spillover rp",2,0,567,567,"Ambiguous","Mismatch",567
"13490","L1","L1 2",14,"spillover","rp","spillover rp",3,0,738,738,"Unambiguous","Match",738
"13492","L1","L1 2",4,"spillover","rp","spillover rp",1,0,431,431,"Ambiguous","Match",431
"13494","L1","L1 2",19,"spillover","rp","spillover rp",4,0,533,533,"Unambiguous","Mismatch",533
"13496","L1","L1 2",1,"spillover","rp","spillover rp",2,0,421,421,"Ambiguous","Mismatch",421
"13498","L1","L1 2",5,"spillover","rp","spillover rp",2,0,3116,3116,"Ambiguous","Mismatch",3116
"13500","L1","L1 2",15,"spillover","rp","spillover rp",4,0,122,122,"Unambiguous","Mismatch",122
"13502","L1","L1 2",7,"spillover","rp","spillover rp",4,0,1329,1329,"Unambiguous","Mismatch",1329
"13504","L1","L1 2",18,"spillover","rp","spillover rp",3,0,452,452,"Unambiguous","Match",452
"13506","L1","L1 2",6,"spillover","rp","spillover rp",3,0,439,439,"Unambiguous","Match",439
"13508","L1","L1 2",22,"spillover","rp","spillover rp",3,0,404,404,"Unambiguous","Match",404
"13510","L1","L1 2",10,"spillover","rp","spillover rp",3,0,311,311,"Unambiguous","Match",311
"13512","L1","L1 2",8,"spillover","rp","spillover rp",1,0,2141,2141,"Ambiguous","Match",2141
"13514","L1","L1 2",24,"spillover","rp","spillover rp",1,0,125,125,"Ambiguous","Match",125
"13516","L1","L1 2",17,"spillover","rp","spillover rp",2,0,1612,1612,"Ambiguous","Mismatch",1612
"13518","L1","L1 2",2,"spillover","rp","spillover rp",3,0,301,301,"Unambiguous","Match",301
