"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"23042","L1","L1 1",24,"spillover","tt","spillover tt",4,0,323,323,"Unambiguous","Mismatch",323
"23044","L1","L1 1",12,"spillover","tt","spillover tt",4,0,2377,2377,"Unambiguous","Mismatch",2377
"23046","L1","L1 1",6,"spillover","tt","spillover tt",2,0,371,371,"Ambiguous","Mismatch",371
"23048","L1","L1 1",7,"spillover","tt","spillover tt",3,0,880,880,"Unambiguous","Match",880
"23050","L1","L1 1",14,"spillover","tt","spillover tt",2,0,644,644,"Ambiguous","Mismatch",644
"23052","L1","L1 1",21,"spillover","tt","spillover tt",1,0,1024,1024,"Ambiguous","Match",1024
"23054","L1","L1 1",19,"spillover","tt","spillover tt",3,0,511,511,"Unambiguous","Match",511
"23056","L1","L1 1",17,"spillover","tt","spillover tt",1,0,648,648,"Ambiguous","Match",648
"23058","L1","L1 1",10,"spillover","tt","spillover tt",2,0,1453,1453,"Ambiguous","Mismatch",1453
"23060","L1","L1 1",23,"spillover","tt","spillover tt",3,0,609,609,"Unambiguous","Match",609
"23062","L1","L1 1",15,"spillover","tt","spillover tt",3,0,578,578,"Unambiguous","Match",578
"23064","L1","L1 1",1,"spillover","tt","spillover tt",1,0,593,593,"Ambiguous","Match",593
"23066","L1","L1 1",2,"spillover","tt","spillover tt",2,0,543,543,"Ambiguous","Mismatch",543
"23068","L1","L1 1",5,"spillover","tt","spillover tt",1,0,515,515,"Ambiguous","Match",515
"23070","L1","L1 1",16,"spillover","tt","spillover tt",4,0,998,998,"Unambiguous","Mismatch",998
"23072","L1","L1 1",3,"spillover","tt","spillover tt",3,0,760,760,"Unambiguous","Match",760
"23074","L1","L1 1",13,"spillover","tt","spillover tt",1,0,1537,1537,"Ambiguous","Match",1537
"23076","L1","L1 1",11,"spillover","tt","spillover tt",3,0,695,695,"Unambiguous","Match",695
"23078","L1","L1 1",9,"spillover","tt","spillover tt",1,0,1228,1228,"Ambiguous","Match",1228
"23080","L1","L1 1",8,"spillover","tt","spillover tt",4,0,1682,1682,"Unambiguous","Mismatch",1682
"23082","L1","L1 1",4,"spillover","tt","spillover tt",4,0,973,973,"Unambiguous","Mismatch",973
"23084","L1","L1 1",20,"spillover","tt","spillover tt",4,0,1754,1754,"Unambiguous","Mismatch",1754
"23086","L1","L1 1",18,"spillover","tt","spillover tt",2,0,467,467,"Ambiguous","Mismatch",467
"23088","L1","L1 1",22,"spillover","tt","spillover tt",2,0,1056,1056,"Ambiguous","Mismatch",1056
"23090","L1","L1 2",14,"spillover","tt","spillover tt",3,0,301,301,"Unambiguous","Match",301
"23092","L1","L1 2",4,"spillover","tt","spillover tt",1,0,431,431,"Ambiguous","Match",431
"23094","L1","L1 2",19,"spillover","tt","spillover tt",4,0,566,566,"Unambiguous","Mismatch",566
"23096","L1","L1 2",1,"spillover","tt","spillover tt",2,0,421,421,"Ambiguous","Mismatch",421
