"","subject","type","item","condition","question","correct_answer","response","rt","group","disamb_type","z_scored_rt"
"20","L1 1","gap",9,"-0.5","!","{The_table}",1,3739,"L1","0.5",0.872623129812436
"36","L1 1","gap",1,"-0.5","!","{The_car}",0,4587,"L1","0.5",1.48899537435851
"40","L1 1","gap",7,"-0.5","!","{The_sky}",1,1791,"L1","0.5",-0.543288582894817
"55","L1 1","gap",11,"-0.5","!","{The_table}",1,1797,"L1","0.5",-0.538927458523029
"58","L1 1","gap",12,"0.5","!","{The_bread}",1,1744,"L1","0.5",-0.577450723807159
"65","L1 1","gap",6,"0.5","!","{The_race}",1,2085,"L1","0.5",-0.329593488677193
"78","L1 1","gap",2,"0.5","!","{The_truck}",1,1632,"L1","0.5",-0.658858378747206
"85","L1 1","gap",8,"0.5","!","{The_church}",1,3415,"L1","0.5",0.63712241373587
"103","L1 1","gap",10,"0.5","!","{The_car}",1,2519,"L1","0.5",-0.0141388257845092
"108","L1 1","gap",3,"-0.5","!","{The_ship}",0,2644,"L1","0.5",0.0767179319610794
"155","L1 1","gap",4,"0.5","!","{The_door}",1,2134,"L1","0.5",-0.293977639640922
"168","L1 1","gap",5,"-0.5","!","{The_car}",1,4305,"L1","0.5",1.28402252888446
"199","L1 2","gap",10,"-0.5","!","{The_car}",1,2074,"L1","0.5",-0.337588883358805
"220","L1 2","gap",1,"0.5","!","{The_car}",0,2714,"L1","0.5",0.127597716298609
"227","L1 2","gap",3,"0.5","!","{The_island}",1,1319,"L1","0.5",-0.88636370014216
"234","L1 2","gap",6,"-0.5","!","{The_race}",1,1820,"L1","0.5",-0.522209815097841
"244","L1 2","gap",9,"0.5","!","{The_table}",1,1392,"L1","0.5",-0.833303353618736
"249","L1 2","gap",4,"-0.5","!","{The_door}",1,1155,"L1","0.5",-1.00556776630437
"253","L1 2","gap",12,"-0.5","!","{The_bread}",1,2868,"L1","0.5",0.239533241841174
"257","L1 2","gap",5,"0.5","!","{The_car}",1,1342,"L1","0.5",-0.869646056716972
"272","L1 2","gap",11,"0.5","!","{The_table}",1,954,"L1","0.5",-1.15166543275928
"321","L1 2","gap",8,"-0.5","!","{The_church}",1,1400,"L1","0.5",-0.827488521123019
"331","L1 2","gap",2,"-0.5","!","{The_truck}",1,2852,"L1","0.5",0.227903576849739
"356","L1 2","gap",7,"0.5","!","{The_tower}",0,2391,"L1","0.5",-0.107176145715992
"375","L1 3","gap",11,"-0.5","!","{The_table}",1,1636,"L1","0.5",-0.655950962499347
"388","L1 3","gap",6,"0.5","!","{The_race}",1,2839,"L1","0.5",0.218454474044198
"398","L1 3","gap",1,"-0.5","!","{The_bicycle}",1,2090,"L1","0.5",-0.325959218367369
"419","L1 3","gap",2,"0.5","!","{The_truck}",1,6286,"L1","0.5",2.72392042563655
"433","L1 3","gap",3,"-0.5","!","{The_island}",1,5202,"L1","0.5",1.9360106224668
"440","L1 3","gap",9,"-0.5","!","{The_table}",1,3036,"L1","0.5",0.361644724251245
"452","L1 3","gap",8,"0.5","!","{The_church}",1,8095,"L1","0.5",4.03879942373071
"463","L1 3","gap",5,"-0.5","!","{The_car}",1,5365,"L1","0.5",2.05448783456705
"474","L1 3","gap",4,"0.5","!","{The_door}",1,2407,"L1","0.5",-0.0955464807245566
"489","L1 3","gap",7,"-0.5","!","{The_tower}",0,4768,"L1","0.5",1.62055595957412
"506","L1 3","gap",10,"0.5","!","{The_car}",1,3133,"L1","0.5",0.432149568261822
"515","L1 3","gap",12,"0.5","!","{The_bread}",1,2051,"L1","0.5",-0.354306526783993
"588","L1 4","gap",12,"-0.5","!","{The_cake}",0,1759,"L1","0.5",-0.566547912877688
"592","L1 4","gap",2,"-0.5","!","{The_truck}",1,1696,"L1","0.5",-0.612339718781465
"617","L1 4","gap",1,"0.5","!","{The_car}",0,1413,"L1","0.5",-0.818039418317477
"621","L1 4","gap",5,"0.5","!","{The_car}",1,1435,"L1","0.5",-0.802048628954254
"625","L1 4","gap",3,"0.5","!","{The_ship}",0,2176,"L1","0.5",-0.263449769038404
"635","L1 4","gap",8,"-0.5","!","{The_church}",1,2291,"L1","0.5",-0.179861551912463
"642","L1 4","gap",6,"-0.5","!","{The_race}",1,1343,"L1","0.5",-0.868919202655007
"685","L1 4","gap",9,"0.5","!","{The_table}",1,2552,"L1","0.5",0.0098473582603262
"691","L1 4","gap",10,"-0.5","!","{The_car}",1,1237,"L1","0.5",-0.945965733223266
"698","L1 4","gap",11,"0.5","!","{The_room}",0,1632,"L1","0.5",-0.658858378747206
"711","L1 4","gap",7,"0.5","!","{The_tower}",0,1497,"L1","0.5",-0.756983677112442
"715","L1 4","gap",4,"-0.5","!","{The_window}",0,1567,"L1","0.5",-0.706103892774912
"735","L1 5","gap",1,"-0.5","!","{The_bicycle}",1,3963,"L1","0.5",1.03543843969253
"761","L1 5","gap",6,"0.5","!","{The_race}",1,3783,"L1","0.5",0.904604708538883
"768","L1 5","gap",4,"0.5","!","{The_door}",1,3219,"L1","0.5",0.494659017590787
"775","L1 5","gap",7,"-0.5","!","{The_sky}",1,1479,"L1","0.5",-0.770067050227807
"784","L1 5","gap",8,"0.5","!","{The_church}",1,1518,"L1","0.5",-0.741719741811183
"787","L1 5","gap",9,"-0.5","!","{The_table}",1,2462,"L1","0.5",-0.0555695073164976
"794","L1 5","gap",5,"-0.5","!","{The_car}",1,1739,"L1","0.5",-0.581084994116982
"801","L1 5","gap",11,"-0.5","!","{The_table}",1,1617,"L1","0.5",-0.669761189676677
"816","L1 5","gap",3,"-0.5","!","{The_ship}",0,4022,"L1","0.5",1.07832282934845
"856","L1 5","gap",10,"0.5","!","{The_car}",1,1947,"L1","0.5",-0.429899349228323
"891","L1 5","gap",12,"0.5","!","{The_bread}",1,2466,"L1","0.5",-0.0526620910686388
"894","L1 5","gap",2,"0.5","!","{The_wall}",0,4644,"L1","0.5",1.5304260558905
"926","L1 6","gap",9,"0.5","!","{The_table}",1,3681,"L1","0.5",0.830465594218483
"935","L1 6","gap",12,"-0.5","!","{The_bread}",1,2341,"L1","0.5",-0.143518848814227
"952","L1 6","gap",2,"-0.5","!","{The_truck}",1,1665,"L1","0.5",-0.634872194702371
"959","L1 6","gap",4,"-0.5","!","{The_door}",1,1648,"L1","0.5",-0.647228713755771
"977","L1 6","gap",1,"0.5","!","{The_bicycle}",1,1085,"L1","0.5",-1.0564475506419
"1005","L1 6","gap",7,"0.5","!","{The_sky}",1,1991,"L1","0.5",-0.397917770501876
"1009","L1 6","gap",10,"-0.5","!","{The_car}",1,4177,"L1","0.5",1.19098520895298
