"","subject","type","item","condition","question","correct_answer","response","rt","group","clause_q","z_scored_rt"
"16","L1 1","gp",14,"0.5","!","{The_doctor_woke_himself_up}",1,3844,"L1","-0.5",0.997733904001081
"23","L1 1","gp",3,"-0.5","!","{The_president}",1,1844,"L1","0.5",-0.564395854543748
"29","L1 1","gp",4,"0.5","!","{The_friend}",1,2138,"L1","0.5",-0.334762780037658
"33","L1 1","gp",7,"-0.5","!","{The_lady}",1,1510,"L1","0.5",-0.825271524220734
"62","L1 1","gp",9,"-0.5","!","{The_pianist_calmed_himself_down}",1,3042,"L1","-0.5",0.371319870824604
"68","L1 1","gp",6,"0.5","!","{The_two_kids_fought_each_other}",1,3319,"L1","-0.5",0.587674842383063
"75","L1 1","gp",5,"-0.5","!","{The_father_washed_the_boy}",0,2108,"L1","-0.5",-0.358194726415831
"89","L1 1","gp",20,"0.5","!","{The_man}",1,1897,"L1","0.5",-0.52299941594231
"92","L1 1","gp",19,"-0.5","!","{The_basketball_player}",1,2853,"L1","0.5",0.223698608642118
"100","L1 1","gp",17,"-0.5","!","{The_two_men_fought_each_other}",1,3400,"L1","-0.5",0.650941097604129
"106","L1 1","gp",2,"0.5","!","{The_mother_dressed_herself}",1,3563,"L1","-0.5",0.778254672925532
"112","L1 1","gp",12,"0.5","!","{The_baby}",1,1747,"L1","0.5",-0.640159147833172
"116","L1 1","gp",18,"0.5","!","{The_father_washed_himself}",1,2748,"L1","-0.5",0.141686796318514
"126","L1 1","gp",1,"-0.5","!","{The_lawyer_calmed_himself_down}",1,4765,"L1","-0.5",1.71709465781097
"130","L1 1","gp",10,"0.5","!","{The_two_soldiers_fought_each_other}",1,3444,"L1","-0.5",0.685307952292115
"133","L1 1","gp",11,"-0.5","!","{The_friend}",1,1691,"L1","0.5",-0.683898781072427
"136","L1 1","gp",13,"-0.5","!","{The_girl_calmed_herself_down}",1,1904,"L1","-0.5",-0.517531961787403
"140","L1 1","gp",24,"0.5","!","{The_director}",1,2375,"L1","0.5",-0.149650403650096
"144","L1 1","gp",16,"0.5","!","{The_assistant}",1,1960,"L1","0.5",-0.473792328548148
"147","L1 1","gp",21,"-0.5","!","{Anna_dressed_herself}",1,1626,"L1","-0.5",-0.734667998225134
"151","L1 1","gp",22,"0.5","!","{The_two_footballers_fought_each_other}",1,2226,"L1","-0.5",-0.266029070661686
"159","L1 1","gp",15,"-0.5","!","{The_boy}",1,3248,"L1","0.5",0.532219235954722
"171","L1 1","gp",23,"-0.5","!","{The_child}",1,4003,"L1","0.5",1.12192321980539
"175","L1 1","gp",8,"0.5","!","{The_boy}",1,1513,"L1","0.5",-0.822928329582917
"195","L1 2","gp",16,"-0.5","!","{The_researcher_woke_himself_up}",1,3657,"L1","-0.5",0.851674771577139
"202","L1 2","gp",17,"0.5","!","{The_two_men_fought_each_other}",1,2911,"L1","-0.5",0.269000371639918
"209","L1 2","gp",4,"-0.5","!","{The_two_children_hugged_their_friend}",0,2561,"L1","-0.5",-0.00437233610542699
"217","L1 2","gp",15,"0.5","!","{The_boy}",1,1028,"L1","0.5",-1.20174479603004
"223","L1 2","gp",2,"-0.5","!","{The_mother}",0,2794,"L1","0.5",0.177615780765046
"230","L1 2","gp",10,"-0.5","!","{The_two_soldiers}",0,1124,"L1","0.5",-1.12676256761989
"241","L1 2","gp",6,"-0.5","!","{The_neighbour}",1,972,"L1","0.5",-1.24548442926929
"247","L1 2","gp",19,"0.5","!","{The_basketball_player}",1,1542,"L1","0.5",-0.800277448084017
"261","L1 2","gp",20,"-0.5","!","{The_two_friends_met_each_other}",1,2585,"L1","-0.5",0.014373220997111
"265","L1 2","gp",14,"-0.5","!","{The_nurse}",1,1586,"L1","0.5",-0.765910593396031
"269","L1 2","gp",8,"-0.5","!","{Mary_dressed_the_boy}",0,1956,"L1","-0.5",-0.476916588065238
"275","L1 2","gp",1,"0.5","!","{The_lawyer_calmed_himself_down}",1,2505,"L1","-0.5",-0.0481119693446822
"286","L1 2","gp",12,"-0.5","!","{The_nurse_washed_the_baby}",0,2174,"L1","-0.5",-0.306644444383851
"289","L1 2","gp",24,"-0.5","!","{The_two_actresses_met_the_director}",0,2652,"L1","-0.5",0.0667045679083627
"293","L1 2","gp",3,"0.5","!","{The_president}",1,1444,"L1","0.5",-0.876821806252714
"297","L1 2","gp",23,"0.5","!","{The_child}",1,1108,"L1","0.5",-1.13925960568824
"307","L1 2","gp",9,"0.5","!","{The_pianist_calmed_himself_down}",1,3468,"L1","-0.5",0.704053509394653
"314","L1 2","gp",5,"0.5","!","{The_father_washed_himself}",1,1921,"L1","-0.5",-0.504253858839772
"324","L1 2","gp",11,"0.5","!","{The_friend}",1,1136,"L1","0.5",-1.11738978906862
"342","L1 2","gp",21,"0.5","!","{Anna_dressed_herself}",1,1236,"L1","-0.5",-1.03928330114138
"345","L1 2","gp",18,"-0.5","!","{The_baby}",1,2386,"L1","0.5",-0.141058689978099
"348","L1 2","gp",22,"-0.5","!","{The_coach}",1,2255,"L1","0.5",-0.243378189162786
"352","L1 2","gp",13,"0.5","!","{The_girl_calmed_herself_down}",1,1454,"L1","-0.5",-0.86901115745999
"359","L1 2","gp",7,"0.5","!","{The_lady}",1,953,"L1","0.5",-1.26032466197547
"379","L1 3","gp",4,"0.5","!","{The_two_children_hugged_each_other}",1,4729,"L1","-0.5",1.68897632215717
"382","L1 3","gp",20,"0.5","!","{The_two_friends_met_each_other}",1,3223,"L1","-0.5",0.512692613972911
"394","L1 3","gp",12,"0.5","!","{The_nurse_washed_herself}",1,3367,"L1","-0.5",0.625165956588139
"401","L1 3","gp",18,"0.5","!","{The_baby}",1,1989,"L1","0.5",-0.451141447049248
"405","L1 3","gp",22,"0.5","!","{The_coach}",1,2556,"L1","0.5",-0.00827766050178906
"409","L1 3","gp",9,"-0.5","!","{The_pianist}",0,12669,"L1","0.5",7.89063146358014
"412","L1 3","gp",6,"0.5","!","{The_neighbour}",1,1922,"L1","0.5",-0.5034727939605
"427","L1 3","gp",13,"-0.5","!","{The_boy}",1,1870,"L1","0.5",-0.544088167682665
"430","L1 3","gp",24,"0.5","!","{The_two_actresses_met_each_other}",1,2743,"L1","-0.5",0.137781471922152
"436","L1 3","gp",15,"-0.5","!","{The_aunt_dressed_herself}",1,2633,"L1","-0.5",0.0518643352021868
"448","L1 3","gp",23,"-0.5","!","{The_mother_washed_herself}",1,1790,"L1","-0.5",-0.606573358024458
"456","L1 3","gp",1,"-0.5","!","{The_man}",1,1631,"L1","0.5",-0.730762673828772
"471","L1 3","gp",14,"0.5","!","{The_nurse}",1,1757,"L1","0.5",-0.632348499040448
"478","L1 3","gp",7,"-0.5","!","{The_man_woke_himself_up}",1,3518,"L1","-0.5",0.743106753358273
"482","L1 3","gp",16,"0.5","!","{The_researcher_woke_himself_up}",1,2973,"L1","-0.5",0.317426394154808
"499","L1 3","gp",11,"-0.5","!","{The_lady_woke_herself_up}",1,2909,"L1","-0.5",0.267438241881373
"502","L1 3","gp",21,"-0.5","!","{The_child}",1,2411,"L1","0.5",-0.121532067996289
"508","L1 3","gp",19,"-0.5","!","{The_coach_calmed_himself_down}",1,3495,"L1","-0.5",0.725142261135008
"519","L1 3","gp",5,"-0.5","!","{The_boy}",1,3324,"L1","0.5",0.591580166779425
"525","L1 3","gp",3,"-0.5","!","{The_two_journalists_met_each_other}",1,2618,"L1","-0.5",0.0401483620131006
"529","L1 3","gp",10,"0.5","!","{The_General}",1,2177,"L1","0.5",-0.304301249746034
"532","L1 3","gp",17,"-0.5","!","{The_terrorist}",1,2360,"L1","0.5",-0.161366376839182
"535","L1 3","gp",8,"0.5","!","{Mary_dressed_herself}",1,3633,"L1","-0.5",0.832929214474601
"538","L1 3","gp",2,"0.5","!","{The_baby}",1,1910,"L1","0.5",-0.512845572511769
"559","L1 4","gp",11,"0.5","!","{The_lady_woke_herself_up}",1,2515,"L1","-0.5",-0.040301320551958
"562","L1 4","gp",12,"-0.5","!","{The_baby}",1,1212,"L1","0.5",-1.05802885824391
"571","L1 4","gp",21,"0.5","!","{The_child}",1,1585,"L1","0.5",-0.766691658275303
"574","L1 4","gp",24,"-0.5","!","{The_actresses}",0,2472,"L1","0.5",-0.0738871103606719
"578","L1 4","gp",17,"0.5","!","{The_terrorist}",1,1088,"L1","0.5",-1.15488090327369
"585","L1 4","gp",6,"-0.5","!","{The_two_kids_fought_each_other}",1,2739,"L1","-0.5",0.134657212405063
"595","L1 4","gp",4,"-0.5","!","{The_friend}",1,1058,"L1","0.5",-1.17831284965187
"599","L1 4","gp",16,"-0.5","!","{The_assistant}",1,3170,"L1","0.5",0.471296175371473
"603","L1 4","gp",2,"-0.5","!","{The_mother_dressed_the_baby}",0,1869,"L1","-0.5",-0.544869232561938
"607","L1 4","gp",15,"0.5","!","{The_aunt_dressed_herself}",1,1286,"L1","-0.5",-1.00023005717776
"614","L1 4","gp",8,"-0.5","!","{The_boy}",1,2749,"L1","0.5",0.142467861197787
"628","L1 4","gp",14,"-0.5","!","{The_doctor_woke_himself_up}",1,1580,"L1","-0.5",-0.770596982671665
"632","L1 4","gp",23,"0.5","!","{The_mother_washed_the_child}",0,3461,"L1","-0.5",0.698586055239746
"638","L1 4","gp",13,"0.5","!","{The_boy}",1,1443,"L1","0.5",-0.877602871131986
"645","L1 4","gp",22,"-0.5","!","{The_two_footballers_fought_each_other}",1,2300,"L1","-0.5",-0.208230269595527
